   RDUM      R    A90      R    A90   D120      R    A90   D120          E
0   1.0  1.129   40.0  1.129   40.0  120.0  1.129   40.0  120.0 -39.350577
0   1.0  1.129   45.0  1.129   45.0  120.0  1.129   45.0  120.0 -39.389683
0   1.0  1.129   50.0  1.129   50.0  120.0  1.129   50.0  120.0 -39.417558
0   1.0  1.129   55.0  1.129   55.0  120.0  1.129   55.0  120.0 -39.435710
0   1.0  1.129   60.0  1.129   60.0  120.0  1.129   60.0  120.0 -39.445601
0   1.0  1.129   65.0  1.129   65.0  120.0  1.129   65.0  120.0 -39.448857
0   1.0  1.129   70.0  1.129   70.0  120.0  1.129   70.0  120.0 -39.447350
0   1.0  1.129   75.0  1.129   75.0  120.0  1.129   75.0  120.0 -39.443172
0   1.0  1.129   80.0  1.129   80.0  120.0  1.129   80.0  120.0 -39.438414
0   1.0  1.129   85.0  1.129   85.0  120.0  1.129   85.0  120.0 -39.434818
0   1.0  1.129   90.0  1.129   90.0  120.0  1.129   90.0  120.0 -39.433496
0   1.0  1.129   95.0  1.129   95.0  120.0  1.129   95.0  120.0 -39.434818
0   1.0  1.129  100.0  1.129  100.0  120.0  1.129  100.0  120.0 -39.438414
0   1.0  1.129  105.0  1.129  105.0  120.0  1.129  105.0  120.0 -39.443172
0   1.0  1.129  110.0  1.129  110.0  120.0  1.129  110.0  120.0 -39.447350
0   1.0  1.129  115.0  1.129  115.0  120.0  1.129  115.0  120.0 -39.448857
0   1.0  1.129  120.0  1.129  120.0  120.0  1.129  120.0  120.0 -39.445601
0   1.0  1.129  125.0  1.129  125.0  120.0  1.129  125.0  120.0 -39.435710
0   1.0  1.129  130.0  1.129  130.0  120.0  1.129  130.0  120.0 -39.417558
0   1.0  1.129  135.0  1.129  135.0  120.0  1.129  135.0  120.0 -39.389683
0   1.0  1.129  140.0  1.129  140.0  120.0  1.129  140.0  120.0 -39.350577
