r0,E
1.185714285700,-149.528309622144
1.200000000000,-149.528117778703
1.171428571400,-149.527774629878
1.214285714300,-149.527271822541
1.157142857100,-149.526432685464
1.228571428600,-149.525837669472
1.142857142900,-149.524195652260
1.242857142900,-149.523874978826
1.257142857100,-149.521437670779
1.128571428600,-149.520966702871
1.271428571400,-149.518574412326
1.114285714300,-149.516639598548
1.285714285700,-149.515329074366
1.300000000000,-149.511741160242
1.100000000000,-149.511097913335
1.314285714300,-149.507845704604
1.085714285700,-149.504214195430
1.328571428600,-149.503675685383
1.342857142900,-149.499259282274
1.071428571400,-149.495849058025
1.357142857100,-149.494622282857
1.371428571400,-149.489787856983
1.057142857100,-149.485850192712
1.385714285700,-149.484776835000
1.400000000000,-149.479607958164
1.414285714300,-149.474298157922
1.042857142900,-149.474051294580
1.428571428600,-149.468862588401
1.442857142900,-149.463315081722
1.028571428600,-149.460270890949
1.457142857100,-149.457668144933
1.471428571400,-149.451933156939
1.485714285700,-149.446120506399
1.014285714300,-149.444311063450
1.500000000000,-149.440239714511
1.000000000000,-149.425956051232
0.985714285700,-149.404970724407
0.971428571400,-149.381098913446
0.957142857100,-149.354061578978
0.942857142900,-149.323554804940
0.928571428600,-149.289247592960
0.914285714300,-149.250779436742
0.900000000000,-149.207757644829
0.885714285700,-149.159754380643
0.871428571400,-149.106303382496
0.857142857100,-149.046896316186
0.842857142900,-148.980978713658
0.828571428600,-148.907945435051
0.814285714300,-148.827135593865
0.800000000000,-148.737826866896
