r1,E,G
0.800000000000,-148.669142748221,"[[-0.        -0.         3.4655066]
 [ 0.         0.        -3.4655066]]"
0.807070707071,-148.714332233326,"[[ 0.         -0.          3.29974447]
 [ 0.          0.         -3.29974447]]"
0.814141414141,-148.757354989122,"[[ 0.        -0.         3.1411338]
 [-0.         0.        -3.1411338]]"
0.821212121212,-148.798304463723,"[[-0.          0.          2.98936163]
 [ 0.          0.         -2.98936163]]"
0.828282828283,-148.837270025138,"[[ 0.          0.          2.84413019]
 [ 0.         -0.         -2.84413019]]"
0.835353535354,-148.874337160424,"[[-0.          0.          2.70515614]
 [ 0.          0.         -2.70515614]]"
0.842424242424,-148.909587659771,"[[ 0.          0.          2.57216949]
 [-0.          0.         -2.57216949]]"
0.849494949495,-148.943099794537,"[[ 0.          0.          2.44491315]
 [-0.          0.         -2.44491315]]"
0.856565656566,-148.974948479602,"[[ 0.          0.          2.32314188]
 [-0.          0.         -2.32314188]]"
0.863636363636,-149.005205431810,"[[-0.          0.          2.20662211]
 [ 0.          0.         -2.20662211]]"
0.870707070707,-149.033939318670,"[[-0.          0.          2.09513075]
 [ 0.          0.         -2.09513075]]"
0.877777777778,-149.061215896295,"[[ 0.          0.          1.98845513]
 [-0.          0.         -1.98845513]]"
0.884848484848,-149.087098142521,"[[ 0.         -0.          1.88639203]
 [ 0.          0.         -1.88639203]]"
0.891919191919,-149.111646383516,"[[-0.          0.          1.78874751]
 [ 0.          0.         -1.78874751]]"
0.898989898990,-149.134918410043,"[[-0.         0.         1.6953361]
 [ 0.         0.        -1.6953361]]"
0.906060606061,-149.156969591685,"[[ 0.          0.          1.60598065]
 [-0.         -0.         -1.60598065]]"
0.913131313131,-149.177852982292,"[[-0.         -0.          1.52051175]
 [ 0.          0.         -1.52051175]]"
0.920202020202,-149.197619422384,"[[-0.          0.          1.43876732]
 [ 0.         -0.         -1.43876732]]"
0.927272727273,-149.216317633517,"[[-0.          0.          1.36059229]
 [ 0.          0.         -1.36059229]]"
0.934343434343,-149.233994310072,"[[-0.          0.          1.28583828]
 [ 0.          0.         -1.28583828]]"
0.941414141414,-149.250694206884,"[[-0.          0.          1.21436317]
 [ 0.         -0.         -1.21436317]]"
0.948484848485,-149.266460219896,"[[ 0.          0.          1.14603089]
 [ 0.         -0.         -1.14603089]]"
0.955555555556,-149.281333465396,"[[-0.          0.          1.08071111]
 [ 0.          0.         -1.08071111]]"
0.962626262626,-149.295353354860,"[[ 0.         -0.          1.01827887]
 [-0.          0.         -1.01827887]]"
0.969696969697,-149.308557665822,"[[ 0.        -0.         0.9586145]
 [ 0.         0.        -0.9586145]]"
0.976767676768,-149.320982609538,"[[-0.          0.          0.90160324]
 [ 0.          0.         -0.90160324]]"
0.983838383838,-149.332662895475,"[[ 0.          0.          0.84713505]
 [ 0.         -0.         -0.84713505]]"
0.990909090909,-149.343631793969,"[[ 0.         -0.          0.79510441]
 [-0.          0.         -0.79510441]]"
0.997979797980,-149.353921193694,"[[ 0.          0.          0.74541009]
 [ 0.         -0.         -0.74541009]]"
1.005050505051,-149.363561658650,"[[ 0.          0.          0.69795501]
 [-0.          0.         -0.69795501]]"
